hour,sun,mon,tue,wed,thu,fri,sat
00,396,476,545,543,537,560,448
01,334,444,469,432,408,430,332
02,286,363,398,408,413,390,298
03,289,387,400,430,406,390,283
04,270,373,369,366,378,379,252
05,259,381,398,366,335,312,255
06,313,431,415,409,369,354,277
07,321,542,594,538,501,487,331
08,377,592,627,633,568,547,349
09,358,625,701,668,665,571,366
10,431,743,738,708,688,632,421
11,527,830,948,882,767,753,478
12,549,1112,1117,1171,1088,894,554
13,590,1398,1451,1463,1315,1187,675
14,701,1630,1721,1600,1510,1284,705
15,804,1697,1822,1757,1633,1353,810
16,744,1714,1798,1765,1596,1378,768
17,863,1538,1583,1547,1459,1230,813
18,818,1422,1355,1355,1261,1130,711
19,771,1223,1220,1199,1133,952,705
20,755,1119,1069,1040,1060,918,608
21,663,979,923,923,861,774,577
22,616,747,797,800,772,676,520
23,545,650,635,596,612,497,485
